name,product url,price,name,imgUrl,company
710,https://www.meltcosmetics.com/collections/lips/products/710,$19.00,710,cdn.shopify.com/s/files/1/0224/6859/products/Lips_6_C_710-7_rev_3_grande.jpg,meltcosmetics
Cherried,https://www.meltcosmetics.com/collections/lips/products/cherried,$19.00,Cherried,cdn.shopify.com/s/files/1/0224/6859/products/Lips_15_L_Cherried-38_rev_1_grande.jpg,meltcosmetics
Nood,https://www.meltcosmetics.com/collections/lips/products/nood,$19.00,Nood,cd//cdn.shopify.com/s/files/1/0224/6859/products/Nood_mobile_grande.jpeg?v=1472768326,meltcosmetics
Laced,https://www.meltcosmetics.com/collections/lips/products/laced,$19.00,Laced,cd//cdn.shopify.com/s/files/1/0224/6859/products/Laced_mobile_grande.jpeg?v=1472768280,meltcosmetics
Catsuit,https://www.meltcosmetics.com/collections/lips/products/catsuit,$19.00,Catsuit,cd//cdn.shopify.com/s/files/1/0224/6859/products/Catsuit_mobile_grande.jpeg?v=1472768155,meltcosmetics
Bane,https://www.meltcosmetics.com/collections/lips/products/bane,$19.00,Bane,cdn.shopify.com/s/files/1/0224/6859/products/Bane_fe8c1bda-413d-41c6-a0ba-be0d18d24741_grande.jpg,meltcosmetics
Blitzed,https://www.meltcosmetics.com/collections/lips/products/blitzed,$19.00,Blitzed,cdn.shopify.com/s/files/1/0224/6859/products/Blitzed_e5f05676-431a-4553-8fae-0b64b96b6df5_grande.jpg,meltcosmetics
Space Cake,https://www.meltcosmetics.com/collections/lips/products/space-cake,$19.00,Space Cake,cdn.shopify.com/s/files/1/0224/6859/products/Space_Cake_ecf86f08-b539-4848-b06b-c92f9abb3baf_grande.jpg,meltcosmetics
Shady Lady,https://www.meltcosmetics.com/collections/lips/products/shady-lady,$19.00,Shady Lady,cdn.shopify.com/s/files/1/0224/6859/products/Shady_Lady_grande.jpg,meltcosmetics
Summer!,https://www.meltcosmetics.com/collections/lips/products/summer,$19.00,Summer!,cd//cdn.shopify.com/s/files/1/0224/6859/products/Summer_c55c1d3b-6c58-4666-a463-b09f2d14e903_grande.jpeg?v=1472768481,meltcosmetics
Dark Room,https://www.meltcosmetics.com/collections/lips/products/dark-room,$19.00,Dark Room,cdn.shopify.com/s/files/1/0224/6859/products/Dark_Room_grande.jpg,meltcosmetics
Bang! Bang!,https://www.meltcosmetics.com/collections/lips/products/bang-bang,$19.00,Bang! Bang!,cdn.shopify.com/s/files/1/0224/6859/products/Bang_Bang_grande.jpg,meltcosmetics
Blow,https://www.meltcosmetics.com/collections/lips/products/blow,$19.00,Blow,cdn.shopify.com/s/files/1/0224/6859/products/Blow_grande.jpg,meltcosmetics
Stupid Love,https://www.meltcosmetics.com/collections/lips/products/stupid-love,$19.00,Stupid Love,cdn.shopify.com/s/files/1/0224/6859/products/Stupid_Love_grande.jpg,meltcosmetics
By Starlight,https://www.meltcosmetics.com/collections/lips/products/by-starlight,$19.00,By Starlight,cdn.shopify.com/s/files/1/0224/6859/products/img1_grande.jpg,meltcosmetics
6six6,https://www.meltcosmetics.com/collections/lips/products/6six6,$19.00,6six6,cdn.shopify.com/s/files/1/0224/6859/products/6six6_908e1599-213d-4ed5-baf6-06835cddaae2_grande.jpg,meltcosmetics
Prime Rose Collection,https://www.meltcosmetics.com/collections/lips/products/prime-rose-collection,$65.00,Prime Rose Collection,cdn.shopify.com/s/files/1/0224/6859/products/PrimeRoseALL_AngleShot_grande.jpg,meltcosmetics
On-the-go,https://www.meltcosmetics.com/collections/lips/products/on-the-go,$19.00,On-the-go,cdn.shopify.com/s/files/1/0224/6859/products/OnTheGo_Cropped_grande.jpg,meltcosmetics
Old Rose,https://www.meltcosmetics.com/collections/lips/products/old-rose,$19.00,Old Rose,cdn.shopify.com/s/files/1/0224/6859/products/OldRose_grande.jpg,meltcosmetics
Mum,https://www.meltcosmetics.com/collections/lips/products/mum,$19.00,Mum,cdn.shopify.com/s/files/1/0224/6859/products/Mum_grande.jpg,meltcosmetics
Stepford,https://www.meltcosmetics.com/collections/lips/products/stepford,$19.00,Stepford,cdn.shopify.com/s/files/1/0224/6859/products/Stepford1revised_grande.jpg,meltcosmetics
Old Fashioned,https://www.meltcosmetics.com/collections/lips/products/old-fashioned,$19.00,Old Fashioned,cdn.shopify.com/s/files/1/0224/6859/products/OldFashioned1revised_grande.jpg,meltcosmetics
Mellon Collie + Hex,https://www.meltcosmetics.com/collections/pencils/products/mellon-collie-hex,$33.00,Mellon Collie + Hex,cdn.shopify.com/s/files/1/0224/6859/products/LiquidLipstick_Liner_MellonCollie_Hex_grande.jpg,meltcosmetics
Necessary Noods,https://www.meltcosmetics.com/collections/pencils/products/necessary-noods,$43.00,Necessary Noods,cdn.shopify.com/s/files/1/0224/6859/products/4LIPLINERSet_PinkPouch_grande.jpg,meltcosmetics
710 + Edible,https://www.meltcosmetics.com/collections/pencils/products/710-edible,$33.00,710 + Edible,cdn.shopify.com/s/files/1/0224/6859/products/LipstickLinerSet_710_Edible_grande.jpg,meltcosmetics
Mota + Latex,https://www.meltcosmetics.com/collections/pencils/products/mota-latex,$33.00,Mota + Latex,cdn.shopify.com/s/files/1/0224/6859/products/LipstickLinerSet_Mota_latex_grande.jpg,meltcosmetics
Gilded Set,https://www.meltcosmetics.com/collections/pencils/products/gilded-set,$38.00,Gilded Set,cdn.shopify.com/s/files/1/0224/6859/products/Liners_PouchSet_Roselense_grande.jpg,meltcosmetics
Lucid Set,https://www.meltcosmetics.com/collections/pencils/products/lucid-set,$38.00,Lucid Set,cdn.shopify.com/s/files/1/0224/6859/products/Liners_PouchSet_Neptune_grande.jpg,meltcosmetics
Impulse Set,https://www.meltcosmetics.com/collections/pencils/products/impulse-set,$38.00,Impulse Set,cdn.shopify.com/s/files/1/0224/6859/products/Liners_PouchSet_Cinder_grande.jpg,meltcosmetics
Spiced Rum Set,https://www.meltcosmetics.com/collections/pencils/products/spiced-rum-set,$38.00,Spiced Rum Set,cdn.shopify.com/s/files/1/0224/6859/products/Liners_PouchSet_Corrupt_grande.jpg,meltcosmetics
Essentials Liner SetAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/essentials-liner-set,$43.00,Essentials Liner SetAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/BasicLiners_Pouch_WebThumbnail_62c48eef-b0ea-490b-b7f3-b06bc184c341_grande.jpg,meltcosmetics
Poser + Blindfold,https://www.meltcosmetics.com/collections/pencils/products/poser-blindfold,$33.00,Poser + Blindfold,cdn.shopify.com/s/files/1/0224/6859/products/L2MLinerProductShot_Poser_Blindfold_grande.jpg,meltcosmetics
ROC + Ecstacy,https://www.meltcosmetics.com/collections/pencils/products/roc-ecstacy,$33.00,ROC + Ecstacy,cdn.shopify.com/s/files/1/0224/6859/products/L2MLinerProductShot_ROC_Ecstasy_grande.jpg,meltcosmetics
Death Cherry + Ambrosia,https://www.meltcosmetics.com/collections/pencils/products/death-cherry-ambrosia,$33.00,Death Cherry + Ambrosia,cdn.shopify.com/s/files/1/0224/6859/products/L2MLinerProductShot_DeathCherryAmbrosia_grande.jpg,meltcosmetics
Janice + Nudist,https://www.meltcosmetics.com/collections/pencils/products/janice-nudist,$33.00,Janice + Nudist,cdn.shopify.com/s/files/1/0224/6859/products/L2MLinerProductShot_JaniceNudist_grande.jpg,meltcosmetics
Chick Habit + 1979,https://www.meltcosmetics.com/collections/pencils/products/chick-habit-1979,$33.00,Chick Habit + 1979,cdn.shopify.com/s/files/1/0224/6859/products/L2MLinerProductShot_ChickHabit1979_grande.jpg,meltcosmetics
HexAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/hex,$17.00,HexAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/LIPLINER_CloseUp_Hex_grande.jpg,meltcosmetics
ModestAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/modest,$17.00,ModestAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/LIPLINER_CloseUp_Modest_grande.jpg,meltcosmetics
FoxyAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/foxy,$17.00,FoxyAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/LIPLINER_CloseUp_Foxy_grande.jpg,meltcosmetics
Love NoteAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/love-note,$17.00,Love NoteAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/LIPLINER_CloseUp_LoveNote_grande.jpg,meltcosmetics
French KissAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/french-kiss,$17.00,French KissAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/LIPLINER_CloseUp_FrenchKiss_grande.jpg,meltcosmetics
HeadbangAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/headbang,$17.00,HeadbangAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiner_CLOSEUP_Headbang_grande.jpg,meltcosmetics
HandcuffAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/handcuff,$17.00,HandcuffAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiner_CLOSEUP_Handcuff_grande.jpg,meltcosmetics
CinderAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/cinder,$17.00,CinderAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiner_CLOSEUP_Cinder_grande.jpg,meltcosmetics
Latex,https://www.meltcosmetics.com/collections/pencils/products/latex,$17.00,Latex,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiner_CLOSEUP_Latex_grande.jpg,meltcosmetics
EcstacyAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/ecstacy,$17.00,EcstacyAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiner_CLOSEUP_Ecstacy_grande.jpg,meltcosmetics
BlindfoldAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/blindfold,$17.00,BlindfoldAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiner_CLOSEUP_Blindfold_grande.jpg,meltcosmetics
AmbrosiaAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/ambrosia,$17.00,AmbrosiaAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/LINERS_CloseUp_Ambrosia_grande.jpg,meltcosmetics
NudistAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/nudist,$17.00,NudistAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/LINERS_CloseUp_Nudist_grande.jpg,meltcosmetics
1979AllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/1979,$17.00,1979AllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/LINERS_CloseUp_1979_grande.jpg,meltcosmetics
EdibleAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/edible,$17.00,EdibleAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/HotBoxLinersCLOSEUP_Edible_grande.jpg,meltcosmetics
KinkAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/kink,$17.00,KinkAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/HotBoxLinersCLOSEUP_Kink_grande.jpg,meltcosmetics
SanteriaAllDay/Everyday Lip Liner,https://www.meltcosmetics.com/collections/pencils/products/santeria,$17.00,SanteriaAllDay/Everyday Lip Liner,cdn.shopify.com/s/files/1/0224/6859/products/HotBoxLinersCLOSEUP_Santeria_grande.jpg,meltcosmetics
GhastlyAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/ghastly,$17.00,GhastlyAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiner_CLOSEUP_Ghastly_13_grande.jpg,meltcosmetics
